+-------+--------+-----------------------------+-------+-------+---------+-------+-------+
| COUNT | METHOD |             URI             |  MIN  |  MAX  |   SUM   |  AVG  |  P99  |
+-------+--------+-----------------------------+-------+-------+---------+-------+-------+
| 3062  | GET    | ^/$                         | 0.008 | 0.134 | 164.445 | 0.054 | 0.083 |
| 1946  | GET    | ^/posts/\d+$                | 0.008 | 0.093 | 97.128  | 0.050 | 0.079 |
| 1441  | POST   | ^/login$                    | 0.001 | 0.112 | 71.572  | 0.050 | 0.086 |
| 475   | GET    | ^/posts\?max_created_at=.*$ | 0.041 | 0.133 | 39.563  | 0.083 | 0.120 |
| 356   | GET    | ^/@[^/]+$                   | 0.023 | 0.129 | 25.939  | 0.073 | 0.123 |
| 38552 | GET    | ^/image/\d+\.(png|jpg)$     | 0.000 | 0.062 | 24.125  | 0.001 | 0.025 |
| 294   | POST   | ^/$                         | 0.003 | 0.167 | 15.896  | 0.054 | 0.145 |
| 470   | GET    | ^/login$                    | 0.001 | 0.071 | 14.599  | 0.031 | 0.059 |
| 234   | POST   | /register                   | 0.012 | 0.100 | 13.823  | 0.059 | 0.089 |
| 208   | POST   | ^/comment$                  | 0.009 | 0.141 | 10.095  | 0.049 | 0.078 |
| 234   | GET    | ^/admin/banned$             | 0.001 | 0.062 | 6.947   | 0.030 | 0.057 |
| 235   | GET    | /logout                     | 0.001 | 0.053 | 6.870   | 0.029 | 0.052 |
| 1     | GET    | /initialize                 | 0.335 | 0.335 | 0.335   | 0.335 | 0.335 |
| 2     | GET    | /image/9016.gif             | 0.000 | 0.044 | 0.044   | 0.022 | 0.044 |
| 2     | GET    | /image/630.gif              | 0.000 | 0.043 | 0.043   | 0.021 | 0.043 |
| 2     | GET    | /image/5638.gif             | 0.000 | 0.040 | 0.040   | 0.020 | 0.040 |
| 2     | GET    | /image/4492.gif             | 0.000 | 0.038 | 0.038   | 0.019 | 0.038 |
| 2     | GET    | /image/3581.gif             | 0.000 | 0.036 | 0.036   | 0.018 | 0.036 |
| 2     | GET    | /image/2636.gif             | 0.000 | 0.030 | 0.030   | 0.015 | 0.030 |
| 2     | GET    | /image/5609.gif             | 0.000 | 0.024 | 0.024   | 0.012 | 0.024 |
| 4     | GET    | /image/6056.gif             | 0.000 | 0.005 | 0.006   | 0.002 | 0.005 |
| 2     | GET    | /image/6427.gif             | 0.000 | 0.005 | 0.005   | 0.003 | 0.005 |
| 2     | GET    | /image/5213.gif             | 0.002 | 0.002 | 0.002   | 0.001 | 0.002 |
| 4     | GET    | /image/6564.gif             | 0.000 | 0.001 | 0.002   | 0.001 | 0.001 |
| 2     | GET    | /image/6138.gif             | 0.001 | 0.001 | 0.001   | 0.001 | 0.001 |
| 2     | GET    | /image/7740.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 2     | GET    | /image/4925.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 2     | GET    | /image/6448.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 4     | GET    | /image/2617.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 2     | GET    | /image/8888.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 2     | GET    | /image/8885.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 2     | GET    | /image/7285.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 2     | GET    | /image/5961.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 2     | GET    | /image/1786.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 2     | GET    | /image/1869.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 3505  | GET    | ^/favicon\.ico$             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 1     | GET    | /img/ajax-loader.gif        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 3505  | GET    | ^/js/main\.js$              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 3505  | GET    | ^/js/timeago\.min\.js$      | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 3505  | GET    | /css/style.css              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 2     | GET    | /image/1441.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
| 2     | GET    | /image/6820.gif             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 |
+-------+--------+-----------------------------+-------+-------+---------+-------+-------+
